ID	Ubication	Level	Zone
AB001	c1k1	Small	A
AB002	c1k2	Small	A
AB003	c1k3	Small	A
AB004	c1k4	Small	A
AB005	c1k5	Small	A
AB006	c1k6	Small	A
AB007	c1k7	Small	A
AB008	c1k8	Small	A
AB009	c1k9	Small	A
AB010	c1k10	Small	A
AB011	c1k11	Small	A
AB012	c1k12	Small	A
AB013	c1k13	Small	A
AB014	c1k14	Small	A
AB015	c1k15	Small	A
AB016	c1k16	Small	A
AB017	c1k17	Small	A
AB018	c1k18	Small	A
AB019	c1k19	Small	A
AB020	c1k20	Small	A
AB021	c1k21	Small	A
AB022	c1k22	Small	A
AB023	c1k23	Small	A
AB024	c1k24	Small	A
AB025	c1k25	Small	A
AB026	c1k26	Small	A
AB027	c1k27	Small	A
AB028	c1k28	Small	A
AB029	c1k29	Small	A
AB030	c1k30	Small	A
AB031	c1k31	Small	A
AB032	c1k32	Small	A
AB033	c1k33	Small	A
AB034	c1k34	Small	A
AB035	c1k35	Small	A
AB036	c1k36	Small	A
AB037	c1k37	Small	A
AB038	c1k38	Small	A
AB039	c1k39	Small	A
AB040	c1k40	Small	A
AB041	c1k41	Small	A
AB042	c1k42	Small	A
AB043	c1k43	Small	A
AB044	c1k44	Small	A
AB045	c1k45	Small	A
AB046	c1k46	Small	A
AB047	c1k47	Small	A
AB048	c1k48	Small	A
AB050	c1k49	Small	A
AB051	c1k50	Small	A
AB053	c1k51	Small	A
AB054	c1k52	Small	A
AB055	c1k53	Small	A
AB056	c1k54	Small	A
AB057	c1k55	Small	A
AB059	c1k56	Small	A
AB060	c1k57	Small	A
AB061	c1k58	Small	A
AB062	c1k59	Small	A
AB063	c1k60	Small	A
AB064	c1k61	Small	A
AB065	c1k62	Small	A
AB066	c1k63	Small	A
AB067	c1k64	Small	A
AB068	c1k65	Small	A
AB069	c1k66	Small	A
AB070	c1k67	Small	A
AB071	c1k68	Small	A
AB072	c1k69	Small	A
AB074	c1k70	Small	A
AB075	c1k71	Small	A
AB077	c1k72	Small	A
AB078	c1k73	Small	A
AB079	c1k74	Small	A
AB080	c1k75	Small	A
AB081	c1k76	Small	A
AB082	c1k77	Small	A
AB083	c1k78	Small	A
AB084	c1k79	Small	A
AB085	c1k80	Small	A
AB086	c1k81	Small	A
AB087	c1k82	Small	A
AB088	c1k83	Small	A
AB089	c1k84	Small	A
AB092	c1k85	Small	A
AB099	c1k86	Small	A
AB100	c1k87	Small	A
AB101	c1k88	Small	A
AB1044	c1k89	Small	A
AB106	c1k90	Small	A
AB1098	c1k91	Small	A
AB1118	c1k92	Small	A
AB113	c1k93	Small	A
AB1135	c1k94	Small	A
AB1151	c1k95	Small	A
AB116	c1k96	Small	A
AB117	c1k97	Small	A
AB1193	c1k98	Small	B
AB1194	c1k99	Small	B
AB121	c2k1	Small	B
AB1219	c2k2	Small	B
AB122	c2k3	Small	B
AB1224	c2k4	Small	B
AB1226	c2k5	Small	B
AB1229	c2k6	Small	B
AB123	c2k7	Small	B
AB1238	c2k8	Small	B
AB124	c2k9	Small	B
AB1241	c2k10	Small	B
AB125	c2k11	Small	B
AB1252	c2k12	Small	B
AB126	c2k13	Small	B
AB127	c2k14	Small	B
AB128	c2k15	Small	B
AB129	c2k16	Small	B
AB1293	c2k17	Small	B
AB130	c2k18	Small	B
AB1305	c2k19	Small	B
AB131	c2k20	Small	B
AB132	c2k21	Small	B
AB133	c2k22	Small	B
AB1332	c2k23	Small	B
AB1333	c2k24	Small	B
AB1334	c2k25	Small	B
AB1335	c2k26	Small	B
AB1336	c2k27	Small	B
AB1337	c2k28	Small	B
AB1338	c2k29	Small	B
AB1339	c2k30	Small	B
AB134	c2k31	Small	B
AB1340	c2k32	Small	B
AB1341	c2k33	Small	B
AB1342	c2k34	Small	B
AB1343	c2k35	Small	B
AB1344	c2k36	Small	B
AB1345	c2k37	Small	B
AB1346	c2k38	Small	B
AB1347	c2k39	Small	B
AB1348	c2k40	Small	B
AB1349	c2k41	Small	B
AB135	c2k42	Small	B
AB1350	c2k43	Small	B
AB1351	c2k44	Small	B
AB1352	c2k45	Small	B
AB1353	c2k46	Small	B
AB1354	c2k47	Small	B
AB1355	c2k48	Small	B
AB1356	c2k49	Small	B
AB1357	c2k50	Small	B
AB1358	c2k51	Small	B
AB1359	c2k52	Small	B
AB136	c2k53	Small	B
AB1360	c2k54	Small	B
AB1361	c2k55	Small	B
AB1362	c2k56	Small	B
AB1363	c2k57	Small	B
AB1364	c2k58	Small	B
AB1365	c2k59	Small	B
AB1366	c2k60	Small	B
AB1367	c2k61	Small	B
AB1368	c2k62	Small	B
AB1369	c2k63	Small	B
AB137	c2k64	Small	B
AB1370	c2k65	Small	B
AB1371	c2k66	Small	B
AB1372	c2k67	Small	B
AB1373	c2k68	Small	B
AB1374	c2k69	Small	B
AB1375	c2k70	Small	B
AB1376	c2k71	Small	B
AB1377	c2k72	Small	B
AB1378	c2k73	Small	B
AB1379	c2k74	Small	B
AB138	c2k75	Small	B
AB1380	c2k76	Small	B
AB1381	c2k77	Small	B
AB1382	c2k78	Small	B
AB1383	c2k79	Small	B
AB1384	c2k80	Small	B
AB1385	c2k81	Small	B
AB1386	c2k82	Small	B
AB1387	c2k83	Small	B
AB1388	c2k84	Small	B
AB1389	c2k85	Small	B
AB139	c2k86	Small	B
AB1390	c2k87	Small	B
AB1391	c2k88	Small	B
AB1392	c2k89	Small	B
AB1393	c2k90	Small	B
AB1394	c2k91	Small	B
AB1395	c2k92	Small	B
AB1396	c2k93	Small	B
AB1397	c2k94	Small	B
AB1398	c2k95	Small	B
AB1399	c2k96	Small	B
AB140	c2k97	Small	B
AB1400	c2k98	Small	B
AB1401	c2k99	Small	B
AB1402	c3k1	Small	B
AB1403	c3k2	Small	B
AB1404	c3k3	Small	B
AB1405	c3k4	Small	B
AB1406	c3k5	Small	B
AB1407	c3k6	Small	B
AB1408	c3k7	Small	B
AB1409	c3k8	Small	B
AB141	c3k9	Small	B
AB1410	c3k10	Small	B
AB1411	c3k11	Small	B
AB1412	c3k12	Small	B
AB1413	c3k13	Small	B
AB1414	c3k14	Small	B
AB1415	c3k15	Small	B
AB1416	c3k16	Small	B
AB1417	c3k17	Small	B
AB1418	c3k18	Small	B
AB1419	c3k19	Small	B
AB142	c3k20	Small	B
AB1420	c3k21	Small	B
AB1421	c3k22	Small	B
AB1422	c3k23	Small	B
AB1423	c3k24	Small	B
AB1424	c3k25	Small	B
AB1425	c3k26	Small	B
AB1426	c3k27	Small	B
AB1427	c3k28	Small	B
AB1428	c3k29	Small	B
AB1429	c3k30	Small	B
AB143	c3k31	Small	B
AB1430	c3k32	Small	B
AB1431	c3k33	Small	B
AB1432	c3k34	Small	B
AB1433	c3k35	Small	B
AB1434	c3k36	Small	B
AB1435	c3k37	Small	B
AB1436	c3k38	Small	B
AB1437	c3k39	Small	B
AB1438	c3k40	Small	B
AB1439	c3k41	Small	B
AB144	c3k42	Small	B
AB1440	c3k43	Small	B
AB1441	c3k44	Small	B
AB1442	c3k45	Small	B
AB1443	c3k46	Small	B
AB1444	c3k47	Small	B
AB1445	c3k48	Small	B
AB1446	c3k49	Small	B
AB1447	c3k50	Small	B
AB1448	c3k51	Small	B
AB1449	c3k52	Small	B
AB145	c3k53	Small	B
AB1450	c3k54	Small	B
AB1451	c3k55	Small	B
AB1452	c3k56	Small	B
AB1453	c3k57	Small	B
AB1454	c3k58	Small	B
AB1455	c3k59	Small	B
AB1456	c3k60	Small	B
AB1457	c3k61	Small	B
AB1458	c3k62	Small	B
AB1459	c3k63	Small	B
AB146	c3k64	Small	B
